"","Keyword","Article.title","Authors","Journal.title","Volume","Issue","Pages","Volume.year","DOI","Published.online.date","URL","Keword"
"187","Fungicide and Sclerotinia","BAS 395 01 F-A New Fungicide Combination for the Control of Seed-borne Diseases in Cereals","M Hampel, R Saur","PANS","25","4","p437 - p439",1979,"10.1080/09670877909414368","6-Jul-09","https://doi.org/10.1080/09670877909414368",NA
"188","Fungicide and Sclerotinia","Blackleg disease of canola mitigated by resistant cultivars and four-year crop rotations in western Canada","S A Brandt, A M Johnston, H R Kutcher, S S Malhi, E G Smith, D Ulrich","Canadian Journal of Plant Pathology","35","2","p209 - p221",2013,"10.1080/07060661.2013.775600","6-Mar-13","https://doi.org/10.1080/07060661.2013.775600",NA
"189","Fungicide and Sclerotinia","Amplification and cloning of a β-tubulin gene fragment from strains of Botrytis cinerea resistant and sensitive to benzimidazole fungicides","Michael R Gillings, Joanne E Luck, Christopher C Steel","New Zealand Journal of Crop and Horticultural Science","22","2","p173 - p179",1994,"10.1080/01140671.1994.9513822","22-Mar-10","https://doi.org/10.1080/01140671.1994.9513822",NA
"190","Fungicide and Sclerotinia","Accelerated decomposition of the fungicide, iprodione, on TiO2 surface under solar irradiation: experimental study and DFT mechanisms","Mikhail Yu Gorbachev, Natalia N Gorinchoy, Ivan Osipov","Journal of Environmental Science and Health, Part B","55","10","p876 - p888",2020,"10.1080/03601234.2020.1790965","12-Jul-20","https://doi.org/10.1080/03601234.2020.1790965",NA
"191","Fungicide and Sclerotinia","Proton-induced accelerated decay of the fungicide, vinclozolin, on TiO2 surface under solar irradiation: Experimental and DFT study","Mikhail Y Gorbachev, Natalia N Gorinchoy, Ivan Osipov","Journal of Environmental Science and Health, Part B","53","4","p222 - p228",2018,"10.1080/03601234.2017.1410406","29-Dec-17","https://doi.org/10.1080/03601234.2017.1410406",NA
"192","Fungicide and Sclerotinia","Symptoms and distribution of blossom blight in alfalfa seed production on the Canadian Prairies","B D Gossen, R J Howard","Canadian Journal of Plant Pathology","Latest Articles","Latest Articles","p1 - p10",2020,"10.1080/07060661.2020.1825015","30-Oct-20","https://doi.org/10.1080/07060661.2020.1825015",NA
"193","Fungicide and Sclerotinia","Control of downy mildews of brassica seedlings and lettuce with systemic fungicides","W F T Hartill","New Zealand Journal of Experimental Agriculture","10","1","p69 - p72",1982,"10.1080/03015521.1982.10427845","30-Jan-12","https://doi.org/10.1080/03015521.1982.10427845",NA
"194","Fungicide and Sclerotinia","Determination and identification of metabolites of the fungicides Vinclozolin and Chlozolinate in compost","Adelaide Calabria, Roberta Gamberini, Adriano Vanni","Toxicological & Environmental Chemistry","78","2-Jan","p11 - p30",2000,"10.1080/02772240009358957","19-Sep-08","https://doi.org/10.1080/02772240009358957",NA
"195","Fungicide and Sclerotinia","Fungistatic activity of Zanthoxylum rhoifolium Lam. bark extracts against fungal plant pathogens and investigation on mechanism of action in Botrytis cinerea","Mariaevelina Alfieri, Gennaro Carotenuto, Raffaele Carrieri, Ernesto Lahoz, Antonella Leone, Paola Tarantino, Nunziatina de Tommasi","Natural Product Research","29","23","p2251 - p2255",2015,"10.1080/14786419.2014.1000894","15-Jan-15","https://doi.org/10.1080/14786419.2014.1000894",NA
"196","Fungicide and Sclerotinia","Biological control of clover rot on red clover by Coniothyrium minitans under natural and controlled climatic conditions","Ulla Bång, Helena Öhberg","Biocontrol Science and Technology","20","1","p25 - p36",2010,"10.1080/09583150903337805","3-Nov-09","https://doi.org/10.1080/09583150903337805",NA
"197","Fungicide and Sclerotinia","Rapid Cooling and Field-Applied Fungicides for Reducing Losses in Stored Carrots Caused by Cottony Soft Rot","DE Boese, MK Pritchard, SR Rimmer","Canadian Journal of Plant Pathology","14","2","p177 - p181",1992,"10.1080/07060669209500895","29-Dec-09","https://doi.org/10.1080/07060669209500895",NA
"198","Fungicide and Sclerotinia","Hydroxyl radical scavengers inhibit lateral-type sclerotial differentiation and growth in phytopathogenic fungi","Christos D Georgiou, Anna Sotiropoulou, Nikos Tairis","Mycologia","92","5","p825 - p834",2000,"10.1080/00275514.2000.12061226","4-Jun-19","https://doi.org/10.1080/00275514.2000.12061226",NA
"199","Fungicide and Sclerotinia","Performance of Fungicides to Control Blackleg of Canola","PD Kharbanda","Canadian Journal of Plant Pathology","14","2","p169 - p176",1992,"10.1080/07060669209500894","29-Dec-09","https://doi.org/10.1080/07060669209500894",NA
"200","Fungicide and Sclerotinia","Metal-thiazole Chelates as Fungicides","Lallan Mishra, Vinod Kumar Singh","Agricultural and Biological Chemistry","55","7","p1883 - p1885",1991,"10.1080/00021369.1991.10870885","8-Sep-14","https://doi.org/10.1080/00021369.1991.10870885",NA
"201","Fungicide and Sclerotinia","Black Currant Leaf Spot: II. Laboratory Tests of Fungicides for the Prevention of Sporing of Pseudopeziza Ribis on Overwintered Leaves","A T K Corke","Journal of Horticultural Science","30","3","p197 - p200",1955,"10.1080/00221589.1955.11513841","27-Nov-15","https://doi.org/10.1080/00221589.1955.11513841",NA
"202","Fungicide and Sclerotinia","Progress Towards Systemic Fungicides","A H M Kirby","PANS Pest Articles & News Summaries","18","1","p1 - p33",1972,"10.1080/09670877209413455","6-Jul-09","https://doi.org/10.1080/09670877209413455",NA
"203","Fungicide and Sclerotinia","Water-assisted dissemination of conidia of the mycoparasite Coniothyrium minitans in soil","Hung-Chang Huang, Daohong Jiang, Guo Qing Li, Long Yang","Biocontrol Science and Technology","19","8","p779 - p796",2009,"10.1080/09583150903118486","4-Sep-09","https://doi.org/10.1080/09583150903118486",NA
"204","Fungicide and Sclerotinia","A Three-Year Comparison of Captan and Lime Sulphur as Post-Blossom Fungicides on Cox's Orange Pippin Apples","R J W Byrde, G M Clarke, C W Harper","Journal of Horticultural Science","33","4","p244 - p253",1958,"10.1080/00221589.1958.11513931","27-Nov-15","https://doi.org/10.1080/00221589.1958.11513931",NA
"205","Fungicide and Sclerotinia","Fungicidal control of phoma canker of parsnip","RF Cerkauskas, BD McGarvey","Canadian Journal of Plant Pathology","10","3","p252 - p258",1988,"10.1080/07060668809501733","29-Dec-09","https://doi.org/10.1080/07060668809501733",NA
"206","Fungicide and Sclerotinia","Agricultural and Horticultural Fungicides - Past, Present and Future","D Woodcock","PANS Pest Articles & News Summaries","15","4","p491 - p504",1969,"10.1080/04345546909415316","1-Sep-09","https://doi.org/10.1080/04345546909415316",NA
"207","Fungicide and Sclerotinia","Fruit Spraying Trials With Certain Recently-Introduced Fungicides","R W Marsh","Journal of Pomology and Horticultural Science","23","3","p185 - p205",1947,"10.1080/03683621.1947.11513668","7-Nov-15","https://doi.org/10.1080/03683621.1947.11513668",NA
"208","Fungicide and Sclerotinia","Fungicidal activity and molecular modeling of fusarubin analogues from Fusarium oxysporum","Aditi Kundu, Abhishek Mandal, Pratibha Prabhakaran, Supradip Saha, Suresh Walia","Toxicological & Environmental Chemistry","102","4-Jan","p78 - p91",2020,"10.1080/02772248.2020.1770253","2-Jun-20","https://doi.org/10.1080/02772248.2020.1770253",NA
"209","Fungicide and Sclerotinia","Suppression of seed-borne Alternaria arborescens and growth enhancement of wheat with biorational fungicides","Cecilia Abramoff, Gustavo Dal Bello, Gladys Lampugnani, Analía Perelló, Alan Slusarenko","International Journal of Pest Management","63","2","p157 - p165",2017,"10.1080/09670874.2016.1252478","10-Nov-16","https://doi.org/10.1080/09670874.2016.1252478",NA
"210","Fungicide and Sclerotinia","Investigations on the Fungicidal Action of Sulphur.: III. Studies on the Toxicity of Sulphuretted Hydrogen and on the Interaction of Sulphur With Fungi.","R W Marsh","Journal of Pomology and Horticultural Science","7","3","p237 - p250",1928,"10.1080/03683621.1928.11513342","7-Nov-15","https://doi.org/10.1080/03683621.1928.11513342",NA
"211","Fungicide and Sclerotinia","Effect of a Wetting Agent on Adsorption, Movement and Uptake of Benomyl Applied to Creeping Bentgrass","Jack L Eggens, Tom Hsiang, Leon X Liu","Journal of Turfgrass Management","1","3","p77 - p89",1996,"10.1300/j099v01n03_07","5-Nov-10","https://doi.org/10.1300/j099v01n03_07",NA
"212","Fungicide and Sclerotinia","Response of rocket salad germplasm (Eruca and Diplotaxis spp.) to major pathogens causing damping-off, wilting and leaf spot diseases","Michele Caputo, Catello Pane, Giovanna Serratore, Loredana Sigillo, Pasquale Tripodi, Massimo Zaccardelli","Archives of Phytopathology and Plant Protection","50","4-Mar","p167 - p177",2017,"10.1080/03235408.2017.1285511","27-Jan-17","https://doi.org/10.1080/03235408.2017.1285511",NA
"213","Fungicide and Sclerotinia","Fungicidal effect of ultraviolet-C radiations in prevention of mycoflora of castor bean seeds","Shahnaz Dawar, Sumaira Khalid, Marium Tariq","Archives of Phytopathology and Plant Protection","46","17","p2125 - p2130",2013,"10.1080/03235408.2013.786241","10-Oct-13","https://doi.org/10.1080/03235408.2013.786241",NA
"214","Fungicide and Sclerotinia","Fungal pathogens in Norwegian lettuce fields","Arne Hermansen, Maria L Herrero, Berit Nordskog, Ragnhild Nærstad, Leif Sundheim","Acta Agriculturae Scandinavica, Section B — Soil & Plant Science","58","3","p230 - p235",2008,"10.1080/09064710701594176","20-Aug-08","https://doi.org/10.1080/09064710701594176",NA
"215","Fungicide and Sclerotinia","Site-specific risk factors of white mould epidemics in bean (Phaseolus vulgaris) in Tasmania, Australia","DH Gent, FS Hay, SJ Jones, SJ Pethybridge","New Zealand Journal of Crop and Horticultural Science","40","3","p147 - p159",2012,"10.1080/01140671.2011.623707","30-Aug-12","https://doi.org/10.1080/01140671.2011.623707",NA
"216","Fungicide and Sclerotinia","The severity of field pea diseases depending on sowing rate and variety","Margit Olle, Pille Sooväli","Acta Agriculturae Scandinavica, Section B — Soil & Plant Science","70","7","p556 - p563",2020,"10.1080/09064710.2020.1803958","10-Aug-20","https://doi.org/10.1080/09064710.2020.1803958",NA
"217","Fungicide and Sclerotinia","Fungal fruit rots of Actinidia deliciosa (kiwifruit)","S R Pennycook","New Zealand Journal of Experimental Agriculture","13","4","p289 - p299",1985,"10.1080/03015521.1985.10426097","20-Jan-12","https://doi.org/10.1080/03015521.1985.10426097",NA
"218","Fungicide and Sclerotinia","Novel strains of Bacillus, isolated from compost and compost-amended soils, as biological control agents against soil-borne phytopathogenic fungi","Francesco Campanile, Catello Pane, Domenica Villecco, Massimo Zaccardelli","Biocontrol Science and Technology","22","12","p1373 - p1388",2012,"10.1080/09583157.2012.729143","15-Jan-13","https://doi.org/10.1080/09583157.2012.729143",NA
"219","Fungicide and Sclerotinia","Use of disease progress curves to study the effects of the biocontrol agent Sporidesmium sclerotivorum on lettuce drop","P B Adams, D R Fravel, W E Potts","Biocontrol Science and Technology","2","4","p341 - p348",1992,"10.1080/09583159209355250","20-Sep-08","https://doi.org/10.1080/09583159209355250",NA
"220","Fungicide and Sclerotinia","Factors determining the efficacy of chemical control of white mold in white bean","R Hall, JG Morton","Canadian Journal of Plant Pathology","11","3","p297 - p302",1989,"10.1080/07060668909501116","29-Dec-09","https://doi.org/10.1080/07060668909501116",NA
"221","Fungicide and Sclerotinia","Trichoderma species for biocontrol of soil-borne plant pathogens of pasture species","JG Hampton, EE Jones, DRW Kandula, KL McLean, A Stewart","Biocontrol Science and Technology","25","9","p1052 - p1069",2015,"10.1080/09583157.2015.1028892","5-May-15","https://doi.org/10.1080/09583157.2015.1028892",NA
"222","Fungicide and Sclerotinia","The effect of canola (Brassica napus) as a biofumigant on soil microbial communities and plant vitality: a pot study","Sarina Claassens, Clarissa Potgieter, Misha de Beer","South African Journal of Plant and Soil","30","4","p191 - p201",2013,"10.1080/02571862.2013.860491","19-Dec-13","https://doi.org/10.1080/02571862.2013.860491",NA
"223","Fungicide and Sclerotinia","Studies on chlozolinate and PP192 for control of Botrytis cinerea","P G Long, T M Stewart","New Zealand Journal of Experimental Agriculture","15","1","p97 - p103",1987,"10.1080/03015521.1987.10425543","12-Jan-12","https://doi.org/10.1080/03015521.1987.10425543",NA
"224","Fungicide and Sclerotinia","Effect of Soluble Silica on Brown Patch and Dollar Spot of Creeping Bentgrass","Daniel C Bowman, H David Shew, Ricardo F Uriarte","Journal of Plant Nutrition","27","2","p325 - p339",2004,"10.1081/pln-120027657","16-Aug-06","https://doi.org/10.1081/pln-120027657",NA
"225","Fungicide and Sclerotinia","Western Ontario Regional Meeting, 2008. The Canadian Phytopathological Society","","Canadian Journal of Plant Pathology","31","1","p151 - p154",2009,"10.1080/07060660909507585","1-Apr-10","https://doi.org/10.1080/07060660909507585",NA
"226","Fungicide and Sclerotinia","Exposure to Particulates, Microorganisms, β(1-3)-Glucans, and Endotoxins During Soybean Harvesting","Chad J Roy, Peter S Thorne","AIHA Journal","64","4","p487 - p495",2003,"10.1080/15428110308984844","4-Jun-10","https://doi.org/10.1080/15428110308984844",NA
"227","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of British Columbia, Vancouver 14-17 August 1988","","Canadian Journal of Plant Pathology","10","4","p361 - p375",1988,"10.1080/07060668809501714","29-Dec-09","https://doi.org/10.1080/07060668809501714",NA
"228","Fungicide and Sclerotinia","Antioxidant Assay and Antifungal Activity of Essential Oil and Various Extracts from Alpinia allughas Roscoe: A Potent Zingiberaceous Herb","AK Pant, Om Prakash, H Punetha, Sonali Sethi","Journal of Essential Oil Bearing Plants","19","2","p358 - p367",2016,"10.1080/0972060x.2015.1010604","30-Mar-16","https://doi.org/10.1080/0972060x.2015.1010604",NA
"229","Fungicide and Sclerotinia","Brown rot control in peaches","J F Seelye, K G Tate","New Zealand Journal of Experimental Agriculture","5","3","p293 - p296",1977,"10.1080/03015521.1977.10425983","24-Jan-12","https://doi.org/10.1080/03015521.1977.10425983",NA
"230","Fungicide and Sclerotinia","Review of advances in the thin layer chromatography of pesticides: 2010-2012","Joseph Sherma","Journal of Environmental Science and Health, Part B","48","6","p417 - p430",2013,"10.1080/03601234.2012.761526","1-Mar-13","https://doi.org/10.1080/03601234.2012.761526",NA
"231","Fungicide and Sclerotinia","Western Ontario Regional Meeting, 2006, The Canadian Phytopathological Society","","Canadian Journal of Plant Pathology","28","2","p338 - p341",2006,"10.1080/07060660609507306","1-Apr-10","https://doi.org/10.1080/07060660609507306",NA
"232","Fungicide and Sclerotinia","Abstracts, The Canadian Phytopathological Society, Annual Meeting, Saskatoon, Saskatchewan, June 1996","","Canadian Journal of Plant Pathology","19","1","p106 - p120",1997,"10.1080/07060669709500563","23-Dec-09","https://doi.org/10.1080/07060669709500563",NA
"233","Fungicide and Sclerotinia","In-vitro inhibition of mycelial growth of several phytopathogenic fungi by soluble potassium silicate","T F Bekker, C Kaiser, N Labuschagne, R V.d. Merwe","South African Journal of Plant and Soil","23","3","p169 - p172",2006,"10.1080/02571862.2006.10634750","15-Jan-13","https://doi.org/10.1080/02571862.2006.10634750",NA
"234","Fungicide and Sclerotinia","Endophytic fungi associated with Monarda citriodora, an aromatic and medicinal plant and their biocontrol potential","Meenu Katoch, Shipra Pull","Pharmaceutical Biology","55","1","p1528 - p1535",2017,"10.1080/13880209.2017.1309054","11-Apr-17","https://doi.org/10.1080/13880209.2017.1309054",NA
"235","Fungicide and Sclerotinia","Abstracts, Meeting of the Plant Pathology Society of Alberta, Lethbridge, Alberta, November 1995","","Canadian Journal of Plant Pathology","18","4","p488 - p491",1996,"10.1080/07060669609500611","23-Dec-09","https://doi.org/10.1080/07060669609500611",NA
"236","Fungicide and Sclerotinia","Abstracts, The Canadian Phytopathological Society annual meeting, London, Ontario, 2001","","Canadian Journal of Plant Pathology","23","2","p194 - p210",2001,"10.1080/07060660109506933","1-Apr-10","https://doi.org/10.1080/07060660109506933",NA
"237","Fungicide and Sclerotinia","Effect of Anti-Fungal Agents on In Vitro Cultures of Eucalyptus grandis","F C Blakeway, B A Gauntlett, M P Watt","South African Forestry Journal","175","1","p23 - p27",1996,"10.1080/00382167.1996.9629889","23-Aug-10","https://doi.org/10.1080/00382167.1996.9629889",NA
"238","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Saskatchewan, Saskatoon 27-30 July 1986","","Canadian Journal of Plant Pathology","8","3","p347 - p357",1986,"10.1080/07060668609501813","29-Dec-09","https://doi.org/10.1080/07060668609501813",NA
"239","Fungicide and Sclerotinia","Annual Meeting, Ottawa, Ontario, 2004","","Canadian Journal of Plant Pathology","26","3","p403 - p431",2004,"10.1080/07060660409507160","1-Apr-10","https://doi.org/10.1080/07060660409507160",NA
"240","Fungicide and Sclerotinia","Design, synthesis and antifungal activity of threoninamide carbamate derivatives via pharmacophore model","Wei-Li Dong, Xiu-Jiang Du, Xing-Hai Liu, Xing-Jie Peng, Rui-Qi Zhao, Wei-Guang Zhao","Journal of Enzyme Inhibition and Medicinal Chemistry","35","1","p682 - p691",2020,"10.1080/14756366.2020.1729144","9-Mar-20","https://doi.org/10.1080/14756366.2020.1729144",NA
"241","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society Laval University, Ste-Foy, Quebec 7 10 August 1983","","Canadian Journal of Plant Pathology","5","3","p200 - p213",1983,"10.1080/07060668309501628","29-Dec-09","https://doi.org/10.1080/07060668309501628",NA
"242","Fungicide and Sclerotinia","Review of literature on camellia flower blight caused by Ciborinia camelliae","P G Long, C H Taylor","New Zealand Journal of Crop and Horticultural Science","28","2","p123 - p138",2000,"10.1080/01140671.2000.9514132","22-Mar-10","https://doi.org/10.1080/01140671.2000.9514132",NA
"243","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society McGill University, Montreal 9-13 July 1988","","Canadian Journal of Plant Pathology","11","2","p184 - p200",1989,"10.1080/07060668909501137","29-Dec-09","https://doi.org/10.1080/07060668909501137",NA
"244","Fungicide and Sclerotinia","Essential oil composition, antioxidant assay and antifungal activity of essential oil and various extracts of Alpinia allughas (Retz.) Roscoe leaves","AK Pant, Om Prakash, Sonali Sethi","Cogent Chemistry","1","1","",2015,"10.1080/23312009.2015.1079349","28-Aug-15","https://doi.org/10.1080/23312009.2015.1079349",NA
"245","Fungicide and Sclerotinia","Abstracts, The Canadian Phytopathological Society, Annual Meeting, Edmonton, Alberta, 1994","","Canadian Journal of Plant Pathology","17","4","p353 - p365",1995,"10.1080/07060669509500675","29-Dec-09","https://doi.org/10.1080/07060669509500675",NA
"246","Fungicide and Sclerotinia","In Vitro Efficacy of Microbial Antagonists, Botanical Extracts and Synthetic Chemicals against Mango Quick Wilt Pathogen Ceratocystis Manginecans","Tanvir Ahmad, Anam Moosa, Abdul Rehman","International Journal of Fruit Science","20","4","p705 - p719",2020,"10.1080/15538362.2019.1672612","1-Oct-19","https://doi.org/10.1080/15538362.2019.1672612",NA
"247","Fungicide and Sclerotinia","Annual Meeting, Québec, Quebec, 2006, The Canadian Phytopathological Society / Réunion annuelle, Québec, Québec, 2006, La Société canadienne de phytopathologie","","Canadian Journal of Plant Pathology","28","2","p342 - p371",2006,"10.1080/07060660609507307","1-Apr-10","https://doi.org/10.1080/07060660609507307",NA
"248","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Guelph, Guelph, Ontario 12-16 August 1985","","Canadian Journal of Plant Pathology","7","4","p442 - p450",1985,"10.1080/07060668509501677","29-Dec-09","https://doi.org/10.1080/07060668509501677",NA
"249","Fungicide and Sclerotinia","Annual Meeting, Winnipeg, Manitoba, 2009","","Canadian Journal of Plant Pathology","31","4","p475 - p504",2009,"10.1080/07060660909507622","1-Apr-10","https://doi.org/10.1080/07060660909507622",NA
"250","Fungicide and Sclerotinia","Annual Meeting, Edmonton, Alberta, 2005. The Canadian Phytopathological Society held as part of Plant Canada 2005, from 15 to 18 June 2005","","Canadian Journal of Plant Pathology","27","3","p464 - p482",2005,"10.1080/07060660509507248","1-Apr-10","https://doi.org/10.1080/07060660509507248",NA
"251","Fungicide and Sclerotinia","Control, by Brassica seed pomace combined with Pseudomonas boreopolis, of damping-off of watermelon caused by Pythium sp.","WC Chung, HC Huang, JW Huang, JF Jen","Canadian Journal of Plant Pathology","25","3","p285 - p294",2003,"10.1080/07060660309507081","1-Apr-10","https://doi.org/10.1080/07060660309507081",NA
"252","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Guelph, Guelph, Ontario 12-16 August 1984","","Canadian Journal of Plant Pathology","6","3","p259 - p269",1984,"10.1080/07060668409501565","29-Dec-09","https://doi.org/10.1080/07060668409501565",NA
"253","Fungicide and Sclerotinia","Western Ontario Regional Meeting, 2004","","Canadian Journal of Plant Pathology","27","1","p170 - p172",2005,"10.1080/07060660509507212","1-Apr-10","https://doi.org/10.1080/07060660509507212",NA
"254","Fungicide and Sclerotinia","Activity of the Essential Oil of Salvia pomifera L. ssp. calyclna (Sm.) Hayek Against Soil Borne Pathogens","Anna Kalamarakis, Danae Pitarokili, Olga Tzakou","Journal of Essential Oil Research","14","1","p72 - p75",2002,"10.1080/10412905.2002.9699769","9-Dec-11","https://doi.org/10.1080/10412905.2002.9699769",NA
"255","Fungicide and Sclerotinia","Manitoba Regional Meeting, 2004","","Canadian Journal of Plant Pathology","27","1","p159 - p161",2005,"10.1080/07060660509507209","1-Apr-10","https://doi.org/10.1080/07060660509507209",NA
"256","Fungicide and Sclerotinia","Abstracts, The Canadian Phytopathological Society, Annual Meeting, Toronto, Ontario, 25-28 June 1995","","Canadian Journal of Plant Pathology","18","1","p86 - p103",1996,"10.1080/07060669609500662","29-Dec-09","https://doi.org/10.1080/07060669609500662",NA
"257","Fungicide and Sclerotinia","Alberta and Saskatchewan joint Regional Meeting, 2003","","Canadian Journal of Plant Pathology","26","2","p223 - p230",2004,"10.1080/07060660409507135","1-Apr-10","https://doi.org/10.1080/07060660409507135",NA
"258","Fungicide and Sclerotinia","Abstracts, annual meeting, Canadian Phytopathological Society, Charlottetown, Prince Edward Island, 26-29 July 1992","","Canadian Journal of Plant Pathology","14","3","p240 - p249",1992,"10.1080/07060669209500884","29-Dec-09","https://doi.org/10.1080/07060669209500884",NA
"259","Fungicide and Sclerotinia","A Review of Banana Diseases and their Control","J Editor Gordon, J F Editor Mitchell","Pest Articles & News Summaries. Section B. Plant Disease Control","12","1","p7 - p32",1966,"10.1080/05331846609438405","1-Sep-09","https://doi.org/10.1080/05331846609438405",NA
"260","Fungicide and Sclerotinia","Toxicity of copper hydroxide, dithianon, fluazinam, tebuconazole and pyraclostrobin to Didymella applanata isolates from Serbia","Goran Delibašić, Jovana Hrustić, Milica Mihajlović, Biljana Mirković, Milan Stević, Brankica Tanović, Petar Vukša","Journal of Environmental Science and Health, Part B","50","3","p175 - p183",2015,"10.1080/03601234.2015.982414","20-Jan-15","https://doi.org/10.1080/03601234.2015.982414",NA
"261","Fungicide and Sclerotinia","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Alberta, Edmonton, Alberta 20-23 June 1982","","Canadian Journal of Plant Pathology","4","3","p303 - p311",1982,"10.1080/07060668209501304","29-Dec-09","https://doi.org/10.1080/07060668209501304",NA
"262","Fungicide and Sclerotinia","Dissipation rates of procymidone and azoxystrobin in greenhouse grown lettuce and under cold storage conditions","María del Mar Camacho, José Fenoll, Pilar Flores, Alberto González, Pilar Hellín, Alfredo Lacasa, Josefa López","International Journal of Environmental Analytical Chemistry","88","10","p737 - p746",2008,"10.1080/03067310801975118","15-Jul-08","https://doi.org/10.1080/03067310801975118",NA
"263","Fungicide and Sclerotinia","Toxicity of mancozeb, chlorothalonil, captan, fluopyram, boscalid, and difenoconazole to Didymella applanata isolates from Serbia","Goran Delibašić, Jovana Hrustić, Milica Mihajlović, Biljana Mirković, Milan Stević, Brankica Tanović, Petar Vukša","Journal of Environmental Science and Health, Part B","50","12","p845 - p850",2015,"10.1080/03601234.2015.1062648","7-Aug-15","https://doi.org/10.1080/03601234.2015.1062648",NA
"264","Fungicide and Sclerotinia","Studies on Biological Activity of Cyclic Imide Compounds. Part II. Antimicrobial Activity of l-Phenylpyrrolidine-2,5-diones and Related Compounds","Akira Fujinami, Katsuji Nodera, Toshiaki Ozaki, Katsutoshi Tanaka","Agricultural and Biological Chemistry","36","2","p318 - p323",1972,"10.1080/00021369.1972.10860251","9-Sep-14","https://doi.org/10.1080/00021369.1972.10860251",NA
"265","Fungicide and Sclerotinia","Manitoba Regional Meeting, 2002, The Canadian Phytopathological Society / Réunion régionale du Manitoba, 2002, La Société Canadienne de Phytopathologie","","Canadian Journal of Plant Pathology","25","1","p116 - p118",2003,"10.1080/07060660309507057","1-Apr-10","https://doi.org/10.1080/07060660309507057",NA
"266","Fungicide and Sclerotinia","Studies on Biological Activity of Cyclic Imide Compounds. Part I. Antimicrobial Activity of 3-Phenyloxazolidine-2, 4-diones and Related Compounds","Fujinami Akira, Yamamoto Shigeo, Ozaki Toshiaki","Agricultural and Biological Chemistry","35","11","p1707 - p1719",1971,"10.1080/00021369.1971.10860144","9-Sep-14","https://doi.org/10.1080/00021369.1971.10860144",NA
"267","Fungicide and Sclerotinia","The Canadian Phytopathological Society Annual Meeting, Waterton Lakes National Park, Alberta, 2002","","Canadian Journal of Plant Pathology","24","3","p380 - p398",2002,"10.1080/07060660209507025","1-Apr-10","https://doi.org/10.1080/07060660209507025",NA
"268","Fungicide and Sclerotinia","Phytochemical analysis, antioxidant assay and antifungal activity of essential oil and various extracts of Alpinia malaccensis (Burm.f.) Roscoe leaves","AK Pant, Om Prakash, Sonali Sethi","Cogent Chemistry","2","1","",2016,"10.1080/23312009.2016.1223781","31-Aug-16","https://doi.org/10.1080/23312009.2016.1223781",NA
"269","Fungicide and Sclerotinia","Abstracts, Alberta Regional Meeting, The Canadian Phytopathological Society, 2000","","Canadian Journal of Plant Pathology","23","2","p189 - p191",2001,"10.1080/07060660109506931","1-Apr-10","https://doi.org/10.1080/07060660109506931",NA
"270","Fungicide and Sclerotinia","Abstracts, The Canadian Phytopathological Society, annual meeting, Montreacute;al, Quebec, 1999","","Canadian Journal of Plant Pathology","21","2","p198 - p206",1999,"10.1080/07060669909501213","21-Dec-09","https://doi.org/10.1080/07060669909501213",NA
"271","Fungicide and Sclerotinia","Abstract, Manitoba Regional Meeting, Canadian Phytopathological Society, 1996; and Abstracts, 17th Annual Meeting, Plant Pathology Society of Alberta, 1996","","Canadian Journal of Plant Pathology","19","3","p324 - p326",1997,"10.1080/07060669709500532","23-Dec-09","https://doi.org/10.1080/07060669709500532",NA
"272","Fungicide and Sclerotinia","Biodiversity study and potential of fungal endophytes of peppermint and effect of their extract on chickpea rot pathogens","Kanika Chowdhary, Nutan Kaushik","Archives of Phytopathology and Plant Protection","51","4-Mar","p139 - p155",2018,"10.1080/03235408.2018.1440707","23-Feb-18","https://doi.org/10.1080/03235408.2018.1440707",NA
"273","Fungicide and Sclerotinia","Maritime Regional Meeting, 2006 The Canadian Phytopathological Society","","Canadian Journal of Plant Pathology","29","1","p89 - p91",2007,"10.1080/07060660709507442","1-Apr-10","https://doi.org/10.1080/07060660709507442",NA
"274","Fungicide and Sclerotinia","Response of soybean fungal and oomycete pathogens to apigenin and genistein","GL Hartman, JS Haudenshield, YN Jiang","Mycology","3","2","p153 - p157",2012,"10.1080/21501203.2012.684360","14-May-12","https://doi.org/10.1080/21501203.2012.684360",NA
"275","Fungicide and Sclerotinia","Pathogens of caraway and coriander blossoms in western Canada","Cheryl Armstrong-Cho, Sabine Banniza","Canadian Journal of Plant Pathology","42","3","p367 - p376",2020,"10.1080/07060661.2019.1681515","26-Nov-19","https://doi.org/10.1080/07060661.2019.1681515",NA
